artikel;name;ek
200251;Roth Systemrohr ClimaComfort S5 11 x 1,3 mm (240 m / Rolle);0.71
200252;Roth Systemrohr DUOPEX S5 17 mm ( 200 m / Rolle );0.67
200253;Roth Systemrohr DUOPEX S5 17 mm ( 600 m / Rolle );0.67
200254;Roth Systemrohr PERTEX S5 ( 200 m / Rolle );0.51
200255;Roth Systemrohr PERTEX S5 ( 600 m / Rolle );0.51
200256;Roth Systemrohr X-PERT S5+ 17 mm (200 m / Rolle );0.62
200257;Roth System-Verbundplatte 20-2 mm WLG 035;4.24
200258;Roth System-Verbundplatte 25-2 mm WLG 032;5.78
200259;Roth System-Verbundplatte 25-2 mm WLG 045;3.42
200260;Roth System-Verbundplatte 30-2 mm WLG 040;4.05
200261;Roth System-Verbundplatte 30-3 mm WLG 045;3.68
200262;Roth Sytemrohr X-PERT S5+ 14 mm ( 240 m / Rolle );0.59
200263;ROTH- Tacker Ex-Klips 14-20mm;38
200264;Roth Trockenausgleichsschüttung 100 ltr.;39
200265;Roth Verbundrolle EPS DESsg 20-2 mm WLG 040;3.03
200266;Roth Verbundrolle EPS DESsg 30-2 mm WLG 032;4.34
200267;Roth Verbundrolle EPS DESsm 25-2 mm WLG 045;3.08
200268;Roth Verbundrolle EPS DESsm 30-3 mm WLG 045;3.29
200269;Roth Verbundrolle EPS DESsm 35-3 mm WLG 045;3.54
200270;Roth Zementestrichzusatzmittel;2
200271;Schaum- Randstreifen FSR 10/150 - Comfort - 50 m, selbstklebend mit Folienlasche;18.22
200272;Schaum- Randstreifen FSR 8/120 - 50 m, mit Folienlasche;8.51
200273;Schaum- Randstreifen FSR 8/150 - 50 m, mit Folienlasche;10.26
200274;Schaum- Randstreifen Standard 5/120 - 50 m;4.05
200275;Schaum- Randstreifen Standard 5/150 - 50 m;5.57
200276;Schaum- Randstreifen Standard 8/120 - 50 m;6.73
200277;Schaum- Randstreifen Standard 8/150 - 50 m;8.35
200278;SCHLUETER - DITRA 25 Entkopplungsmatte - je Rolle 30m²;9.2200000000000006
200279;SCHLUETER - Noppenplatte Bekotec EN 23 F, Noppe ca. 20 mm für 14 er Heizrohre, VPE : 10,80 qm (10 Stk.);9.4700000000000006
200280;SCHLÜTER - BEKOTEC THERM-KV Klemmverschraubung 14mm;2.59
200281;Schlüter-BEKOTEC-THERM-HR PE-RT 14 x 2,0 mm, je Rolle 200 m;0.97
200282;Solarfloor - Adapter Klemmverbindung 3/4 - 25 x 2,3 mm;4.3099999999999996
200283;Solarfloor - Heizrohr duo-flex PE-Xa 20 x 2,0 mm 600 lfm.;0.77
200284;Solarfloor - Heizrohr KLETT PE-Xa 16 x 2,0 mm   600lfm,      5-Schicht Kunststoffsicherheitsrohr;0
200284;Solarfloor - Heizrohr KLETT PE-Xa 16 x 2,0 mm   600lfm,      5-Schicht Kunststoffsicherheitsrohr;0.6
200285;Solarfloor - Heizrohr PE-Xa 16 x 2,0 mm   600lfm, 5-Schicht Kunsstoffsicherheitsrohr;0.4
200286;Solarfloor - Heizrohr PE-Xa 17 x 2,0 mm   400lfm, 5-Schicht Kunsstoffsicherheitsrohr;0.42
200287;Solarfloor - Heizrohr PE-Xa 20 x 2,0 mm   400lfm, 5 Schicht Kunststoffsicherheitsrohr;0.52
200288;Solarfloor - Heizrohr PE-Xa 25 x 2,3 mm   300lfm, 5 Schicht Kunststoffsicherheitsrohr;1.02
200289;Solarfloor - Heizrohr trio-flex Alu-/Metallverbundrohr 14 x 2,0 mm 200 lfm.;0.63
200290;Solarfloor - Heizrohrführungsbogen 90°  -  25 mm;1.63
200291;"Solarfloor - Klemmverschraubung 14 x 2,0 - 3/4""";1.1100000000000001
200292;"Solarfloor - Klemmverschraubung 17 x 2,0 - 3/4""";1.1100000000000001
200293;"Solarfloor - Klemmverschraubung 20 x 2,0 - 3/4""";1.1100000000000001
200294;Solarfloor - Presskupplung 14 x 2,0;2.29
200295;Solarfloor - Presskupplung 17 x 2,0;2.29
200296;Solarfloor - Presskupplung 20 x 2,0;2.29
200297;Solarfloor - Trockenplatte Typ 25 (DEO) - WLG 035, VPE : 7,92 qm;6.25
200298;Solarfloor - Trockenplatte Typ 30 (DEO) - WLG 035, VPE : 6,60 qm;6.72
200299;Solarfloor - Wärmeleitmodule mit Sollbruchstelle für Schütz Trockenplatte WML 805, je Karton 30 Stk.;51
200300;Solarfloor Adapter, vernickelt 3/4 - 14 x 2 mm;1.23
200301;Solarfloor Metallverbund-Heizrohr MVR 14x2 mm - 500 m;0.52
200302;Solarfloor Trockenbauplatte EPS035 DEO - 25 mm, VPE : 7,92 qm;6.25
200303;Solarfloor Wärmeleitmodul für Trockenbauplatte 805 mm, Karton a 30 Stk.;37.5
200304;SUPERGLASS Trittschalldämmplatte TS 032 - 15 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 19,50 qm;2.48
200305;SUPERGLASS Trittschalldämmplatte TS 032 - 20 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 15,00 qm;3.3
200306;SUPERGLASS Trittschalldämmplatte TS 032 - 25 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 12,00 qm;4.13
200307;SUPERGLASS Trittschalldämmplatte TS 032 - 30 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 9,75 qm;4.95
200308;SUPERGLASS Trittschalldämmplatte TS 032 - 35 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 8,25 qm;5.78
200309;SUPERGLASS Trittschalldämmplatte TS 032 - 40 mm, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm, je Paket 7,50 qm;6.6
200310;SUPERGLASS Trittschalldämmplatte TS 032, Glaswolle zum Wärme- und Schallschutz, 600 x 1250 mm;165
200311;Tackernadeln,  verschweißt, 1000 Stk./ Karton;7.65
200312;Therma Vlies Schutzschlauch 18/4mm  -  10 m;0.5
200313;Thermodämm - protec Dehnfugenprofil SK 10 / 100 mm - 1200 mm 30 Stk. / Karton = 36 lfm.;2.4
200314;"THERMODÄMM - protec Klemmverschraubung 17 x 2,0 - 3/4""";1.18
200315;THERMODÄMM - protec KLETT- Panel 3 mm mit Klettfolie ( Velours );5.05
200316;THERMODÄMM - protec-Faltplatte KLETT 20-2 EPS 040 DES sg mit Klettfolie ( Velour ), je Paket 10qm;3.41
200317;THERMODÄMM - protec-Faltplatte KLETT 30-2 EPS 040 DES sg mit Klettfolie ( Velour ), je Paket 10,00qm;3.94
200318;THERMODÄMM - protec-Faltplatte KLETT DEO 035 10 mm mit Klettfolie ( Velours ), je Paket 10,00qm;3.38
200319;ThermoWhite Fertigware BEPS- WD 130 R  Speed - 100 ltr.;17.46
200320;ThermoWhite Fertigware BEPS- WD 70 R  - 200 ltr.;22.31
200321;UPONOR - Comfort Pipe PE-Xa Rohr 16 x 1,8mm  240 lfm.;0.56000000000000005
200322;UPONOR - Heizrohr Comfort Pipe 16 x 1,8 mm, 640 lfm.;0.56000000000000005
200323;"UPONOR - Klemmringverschraubung Vario 16 x 1,8/2,0 - 3/4""";2.95
200324;UPONOR - Kupplung Rapex Press 17-17;7.55
200325;UPONOR - Kupplung S-Press PLUS 14-14;9.9600000000000009
200326;UPONOR - Kupplung S-Press PLUS 16-16;4.49
200327;UPONOR - Kupplung S-Press PLUS 20-20;7.18
200328;UPONOR - Kupplung S-Press PLUS 25-25;10.41
200329;Uponor BASE Flexiboard X-24 6x 230 V;86.45
200330;Uponor BASE Flexiboard X-26 8x 230 V;90.25
200331;Uponor BASE Regler Heizen / Kühlen X-80 10x 230 V;137.75
200332;Uponor BASE Regler Heizen X-60 6x 230 V;104.5
200333;Uponor CLASSIC Stahlmatte, beschichtet 100 mm 2100 x 1200 x 3 mm 2100 x 1200 x 3 mm;3.83
200334;Uponor CLASSIC Stahlmatte, beschichtet 150 mm 2100 x 1200 x 3 mm 2100 x 1200 x 3 mm;3.43
200335;Uponor CLASSIC Stahlmatte, beschichtet 50 mm 2150 x 750 x 3 mm 2150 x 750 x 3 mm;7.76
200336;UPONOR Heizrohr Comfort Pipe Plus 14 x 2,0 mm, 240 lfm.;0.84
200337;UPONOR Heizrohr Comfort Pipe Plus 14 x 2,0 mm, 960 lfm.;0.84
200338;UPONOR Heizrohr Comfort Pipe Plus 17 x 2,0 mm, 240 lfm.;0.81
200339;UPONOR Heizrohr Comfort Pipe Plus 17 x 2,0 mm, 480 lfm.;0.81
200340;UPONOR Heizrohr Comfort Pipe Plus 17 x 2,0 mm, 640 lfm.;0.81
200341;UPONOR Heizrohr Magna Pipe Plus 20 x 2,0 mm, 240 lfm.;0.88
200342;UPONOR Heizrohr Magna Pipe Plus 20 x 2,0 mm, 480 lfm.;0.88
200343;UPONOR Heizrohr Magna Pipe Plus 25 x 2,3 mm, 640 lfm.;1.43
200344;Uponor Klett Rohr Comfort Pipe PLUS 16 x 2,0 mm, 240 m;0.85
200345;Uponor Klett Rohr Comfort Pipe PLUS 16 x 2,0 mm, 640 m;0.85
200346;Uponor Klett Rohr MLCP RED 16 x 2,0 mm, 480 m;1.1000000000000001
200347;Uponor Klett Rollplatte Extra EPS DES 25 - 2 mm (1 x 10 m );4.3600000000000003
200348;Uponor Klett Rollplatte Extra EPS DES 30 - 2 mm (1 x 10 m );4.46
200349;Uponor Klett Rollplatte Extra EPS DES 30 - 3 mm (1 x 10 m );3.7
200350;Uponor Klett Rollplatte Extra EPS DES 35 - 3 mm (1 x 10 m );4.42
200351;Uponor Klett Twinboard 3 mm 1400 x 1000 mm 1400 x 1000 mm;8.5
200352;UPONOR Minitec Heizrohr Comfort Pipe 9,9 x 1,1 mm - 120 lfm.;1.52
200353;UPONOR Minitec Klemmverschraubung 9,9 x 1,1 mm mit G 3/4 Eurokonus mit G 3/4 Eurokonus;5.19
200354;UPONOR MLCP RED Rohr 14 x 1,6 mm, 240 lfm.;0.68
200355;UPONOR MLCP RED Rohr 14 x 1,6 mm, 480 lfm.;0.68
200356;UPONOR MLCP RED Rohr 16 x 2,0 mm, 240 lfm.;0.65
200357;UPONOR MLCP RED Rohr 16 x 2,0 mm, 480 lfm.;0
200357;UPONOR MLCP RED Rohr 16 x 2,0 mm, 480 lfm.;0.65
200358;Uponor Multi Gebundene Schüttung 100 Liter;55
200359;Uponor NUBOS Noppenfolie ( 14-16 mm ) | 10m² pro Paket;5.69
200360;Uponor NUBOS Noppenplatte 11 mm ( 14-16 mm ) 1447 x 900 x 29 mm 1447 x 900 x 29 mm;7.79
200361;Uponor NUBOS Noppenplatte 30-2 mm ( 14-16 mm ) 1447 x 900 x 48 mm 1447 x 900 x 48 mm;8.4600000000000009
200362;Uponor NUBOS Noppen-Verteiler-/Tür Set EPS 11 mm 1447 x 900 x 29 mm 1447 x 900 x 29 mm;9.0299999999999994
200363;Uponor NUBOS Noppen-Verteiler-/Tür Set EPS 30-2 mm 1447 x 900 x 48 mm 1447 x 900 x 48 mm;9.98
200364;UPONOR Siccus 14 Verlegeplatte EPS 150 kPa 14 mm ( 25 mm ) 1197 x 1050 x 25 mm 1197 x 1050 x 25 mm;8.5299999999999994
200365;UPONOR Siccus 14 Wärmeleitlamelle 14 mm ( 48 Stk./Kt. ) 1180 x 120 x 0,45 mm 1180 x 120 x 0,45 mm;3.33
200366;UPONOR Siccus Mini Panel 15 mm 1200 x 600 x 15 mm;25.4
200367;Uponor Tacker Nadel-Set 1000 Stk.;19
200368;Uponor Tacker Rolle EPS DES 20-2 mm ( 1 x 10 m );3.51
200369;Uponor Tacker Rolle EPS DES 30-2 mm ( 1 x 10 m );3.75
200370;Uponor Tacker Rolle EPS DES 30-3 mm ( 1 x 10 m );3.75
200371;Uponor Tacker Rolle EPS DES 35-3 mm ( 1 x 10 m );3.7
200372;"UPONOR Vario Klemmringverschraubung PEX 20x1,9/2,0-G 3/4"" IG Eurokonus IG Eurokonus";0
200373;Uponor VARIO Rohrführungsplatte 27 mm;13.99
200374;Uponor VARIO Rohrführungsplatte mit Trittschall 32 mm;18.600000000000001
200375;Uponor VARIO Stellantrieb NC FT 230 V 1W IP54;9.98
200376;Uponor VARIO Stellantrieb NC FT 24 V 1W IP54;9.98
200377;"UPONOR VARIO Verschraubung MLCP RED 14 x 1,6 - 3/4"" EURO";2.61
200378;Uponor VARIO Verteilerplatte 27 mm;18.47
200379;Uponor VARIO Verteilerplatte mit Trittschall 32 mm;26.14
200380;WD> 100 kPa EPS 032 DEO 10 mm - 24,00 qm EPS Wärmedämmplatte WLG 032;0.64
200381;WD> 100 kPa EPS 032 DEO 100 mm - 2,00 qm EPS Wärmedämmplatte WLG 032;6.4
200382;WD> 100 kPa EPS 032 DEO 20 mm - 12,00 qm EPS Wärmedämmplatte WLG 032;0
200382;WD> 100 kPa EPS 032 DEO 20 mm - 12,00 qm EPS Wärmedämmplatte WLG 032;1.28
200383;WD> 100 kPa EPS 032 DEO 30 mm - 8,00 qm EPS Wärmedämmplatte WLG 032;1.92
200384;WD> 100 kPa EPS 032 DEO 40 mm - 6,00 qm EPS Wärmedämmplatte WLG 032;2.56
200385;WD> 100 kPa EPS 032 DEO 50 mm - 4,50 qm EPS Wärmedämmplatte WLG 032;3.2
200386;WD> 100 kPa EPS 032 DEO 60 mm - 4,00 qm EPS Wärmedämmplatte WLG 032;3.84
200387;WD> 100 kPa EPS 032 DEO 70 mm - 3,00 qm EPS Wärmedämmplatte WLG 032;4.4800000000000004
200388;WD> 100 kPa EPS 032 DEO 80 mm - 3,00 qm EPS Wärmedämmplatte WLG 032;5.12
200389;WD> 100 kPa EPS 032 DEO 90 mm - 24,00 qm EPS Wärmedämmplatte WLG 032;5.76
200390;WD> 100 kPa EPS 032 DEO EPS Wärmedämmplatte WLG 032;64
200391;WD> 100 kPa EPS 035 DEO 10 mm - 24,00 qm EPS Wärmedämmplatte WLG 035;0.52
200392;WD> 100 kPa EPS 035 DEO 100 mm-2,00 qm EPS Wärmedämmplatte WLG 035;5.2
200393;WD> 100 kPa EPS 035 DEO 15 mm - 16,00 qm EPS Wärmedämmplatte WLG 035;0.78
200394;WD> 100 kPa EPS 035 DEO 20 mm - 12,00 qm EPS Wärmedämmplatte WLG 035;1.04
200395;WD> 100 kPa EPS 035 DEO 25 mm - 9,52 qm EPS Wärmedämmplatte WLG 035;1.3
200396;WD> 100 kPa EPS 035 DEO 30 mm - 8,00 qm EPS Wärmedämmplatte WLG 035;1.56
200397;WD> 100 kPa EPS 035 DEO 35 mm - 6,50 qm EPS Wärmedämmplatte WLG 035;1.82
200398;WD> 100 kPa EPS 035 DEO 40 mm - 6,00 qm EPS Wärmedämmplatte WLG 035;0
200398;WD> 100 kPa EPS 035 DEO 40 mm - 6,00 qm EPS Wärmedämmplatte WLG 035;2.08
200399;WD> 100 kPa EPS 035 DEO 45 mm - 5,00 qm EPS Wärmedämmplatte WLG 035;2.34
200400;WD> 100 kPa EPS 035 DEO 50 mm - 4,50 qm EPS Wärmedämmplatte WLG 035;2.6
200401;WD> 100 kPa EPS 035 DEO 55 mm - 4,00 qm EPS Wärmedämmplatte WLG 035;2.86
200402;WD> 100 kPa EPS 035 DEO 60 mm - 4,00 qm EPS Wärmedämmplatte WLG 035;0
200402;WD> 100 kPa EPS 035 DEO 60 mm - 4,00 qm EPS Wärmedämmplatte WLG 035;3.12
200403;WD> 100 kPa EPS 035 DEO 65 mm - 3,50 qm EPS Wärmedämmplatte WLG 035;3.38
200404;WD> 100 kPa EPS 035 DEO 70 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;3.75
200405;WD> 100 kPa EPS 035 DEO 75 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;3.9
200406;WD> 100 kPa EPS 035 DEO 80 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;4.16
200407;WD> 100 kPa EPS 035 DEO 90 mm - 2,50 qm EPS Wärmedämmplatte WLG 035;4.68
200408;WD> 100 kPa EPS 035 DEO EPS Wärmedämmplatte WLG 035;52
200409;WD> 150 kPa EPS 035 DEO EPS Wärmedämmplatte WLG 035;64
200410;WD> 150 kPa EPS 035 DEO 10 mm - 24,00 qm EPS Wärmedämmplatte WLG 035;0.64
200411;WD> 150 kPa EPS 035 DEO 100 mm - 2,00 qm EPS Wärmedämmplatte WLG 035;6.4
200412;WD> 150 kPa EPS 035 DEO 20 mm - 12,00 qm EPS Wärmedämmplatte WLG 035;1.28
200413;WD> 150 kPa EPS 035 DEO 30 mm - 8,00 qm EPS Wärmedämmplatte WLG 035;1.92
200414;WD> 150 kPa EPS 035 DEO 40 mm - 6,00 qm EPS Wärmedämmplatte WLG 035;2.56
200415;WD> 150 kPa EPS 035 DEO 50 mm - 4,50 qm EPS Wärmedämmplatte WLG 035;3.2
200416;WD> 150 kPa EPS 035 DEO 60 mm - 4,00 qm EPS Wärmedämmplatte WLG 035;3.84
200417;WD> 150 kPa EPS 035 DEO 70 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;4.4800000000000004
200418;WD> 150 kPa EPS 035 DEO 80 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;5.12
200419;WD> 150 kPa EPS 035 DEO 90 mm - 2,50 qm EPS Wärmedämmplatte WLG 035;5.76
200420;WD> 200 kPa EPS 035 DEO EPS Wärmedämmplatte WLG 035;72
200421;WD> 200 kPa EPS 035 DEO 10 mm - 24,00 qm EPS Wärmedämmplatte WLG 035;0.72
200422;WD> 200 kPa EPS 035 DEO 100 mm 2,00 qm EPS Wärmedämmplatte WLG 035;7.2
200423;WD> 200 kPa EPS 035 DEO 20 mm - 12,00 qm EPS Wärmedämmplatte WLG 035;1.44
200424;WD> 200 kPa EPS 035 DEO 30 mm - 8,00 qm EPS Wärmedämmplatte WLG 035;2.16
200425;WD> 200 kPa EPS 035 DEO 40 mm - 6,00 qm EPS Wärmedämmplatte WLG 035;2.88
200426;WD> 200 kPa EPS 035 DEO 50 mm - 4,50 qm EPS Wärmedämmplatte WLG 035;3.6
200427;WD> 200 kPa EPS 035 DEO 60 mm - 4,00 qm EPS Wärmedämmplatte WLG 035;4.32
200428;WD> 200 kPa EPS 035 DEO 70 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;5.04
200429;WD> 200 kPa EPS 035 DEO 80 mm - 3,00 qm EPS Wärmedämmplatte WLG 035;5.76
200430;WD> 200 kPa EPS 035 DEO 90 mm - 2,50 qm;6.48
200431;Winkelspange 14 -18 mm, Offene Ausführung zum Umlenken der Heizungsrohre, für Rohre 14-18 mm;0.27
200432;Zewo Systemverteiler HKV-D10 Edelstahl Rundrohr;161.46
200433;Zewo Systemverteiler HKV-D11 Edelstahl Rundrohr;175.04
200434;Zewo Systemverteiler HKV-D12 Edelstahl Rundrohr;189.14
200435;Zewo Systemverteiler HKV-D2 Edelstahl Rundrohr;52.09
200436;Zewo Systemverteiler HKV-D3 Edelstahl Rundrohr;64.64
200437;Zewo Systemverteiler HKV-D4 Edelstahl Rundrohr;78.03
200438;Zewo Systemverteiler HKV-D5 Edelstahl Rundrohr;93
200439;Zewo Systemverteiler HKV-D6 Edelstahl Rundrohr;107.26
200440;Zewo Systemverteiler HKV-D7 Edelstahl Rundrohr;119.17
200441;Zewo Systemverteiler HKV-D8 Edelstahl Rundrohr;130.11000000000001
200442;Zewo Systemverteiler HKV-D9 Edelstahl Rundrohr;143.83000000000001
200443;ZEWOTHERM - Gabel-Anschluss-Stück (Y-Stück);8.5299999999999994
200444;ZEWOTHERM - Heizkreiserweiterungsset;57.58
200445;ZEWOTHERM - Kupplung 16 x 2 mm PressFitting;2.4500000000000002
200446;ZEWOTHERM - Kupplung 17mm Fitting;3.68
200447;ZEWOTHERM - Kupplung 20 x 2 mm PressFitting;3.11
200448;ZEWOTHERM - Stellantrieb PREMIUM 230 V;7.64
200449;ZEWOTHERM - Verteiler Anschluss-Set;12.07
200450;Zewotherm - Verteilerschrank AP 12-15 HK;80.86
200451;Zewotherm - Verteilerschrank AP 2-3 HK;48.98
200452;Zewotherm - Verteilerschrank AP 4-5 HK;53.77
200453;Zewotherm - Verteilerschrank AP 6-8 HK;61.51
200454;Zewotherm - Verteilerschrank AP 9-11 HK;68.34
200455;Zewotherm - Verteilerschrank UP 12 HK;83.31
200456;Zewotherm  Verteilerschrank UP 2-3 HK;50.47
200457;Zewotherm - Verteilerschrank UP 4-5 HK;55.39
200458;Zewotherm - Verteilerschrank UP 6-8 HK;63.36
200459;Zewotherm - Verteilerschrank UP 9-11 HK;70.42
200460;ZEWOTHERM - Wärmemengenzähler-Einbauset horizontal;61.86
200461;ZEWOTHERM - Wärmemengenzähler-Einbauset vertikal;71.72
200462;ZEWOTHERM - Winkel-Set;13.61
200463;StoPrefa Coll SB 100;1.4
200464;Bostik Ardalan Xsand  01-3,2mm  a. 25 kg;16.75
200465;EPS-Granulat neugeschäumt (White Perl) 4/8mm lose;60.1
200466;EPS-Granulat NEOPOR 4/8mm lose;70.8
200467;EPS-Granulat recycelt 0/8mm lose;28.6
200468;ThermoWhite Compound 29kg Säcke;0.95
200469;Estrich Profil Alu 3 mm 2,7 Mtr.;1.76
200470;Estrich Profil Alu 4,5 mm 2,7 Mtr.;1.8
200471;Estrich Profil Alu 11 mm 2,7 Mtr.;2.12
200472;Estrich Profil Alu 12,5 mm 2,7 Mtr.;2.16
200473;Estrich Profil Alu 15 mm 2,7 Mtr.;2.34
200474;Basisprofil 7mm Alu Natur  2,7 Mtr.;2.2599999999999998
200475;Deckel Übergangprofil Silber Matt  2,70 Mtr.;3.08
200476;Winkelprofil 20x24,5mm SK Silber  2,7 Mtr.;2.2000000000000002
200477;DPS Übergang+Basis 7mm Silber Matt  2,7 Mtr.;5.54
200478;PS Abschluss+Basis 7mm Silber Matt  2,7 Mtr.;5.23
200479;PS Ausgleich+Basis  7mm Silber Matt  2,7 Mtr.;8.44
200480;Hamburger Leisten 96*19   Länge 2,4 Mtr.;2.75
200481;Berliner 78*19 Ralton 9010  Länge 2,4 Mtr.;2.29
200482;Scheuerleisten Weiß  3,5 x 19mm Länge 2,4 Mtr;1.55
200483;Scheuerleisten Eiche 3,5 x 19mm  Länge 2,4 Mtr.;1.65
200484;Cube Leisten 40/16   Länge 2,4 Mtr.Natura 9010;1.67
200485;Korkstreifen Natur 10 x 8 mm   a. 90 cm;0.44
200486;Korkstreifen Natur 10 x 15 mm   a. 90 cm;0.72
200487;Entkopplungsvlies Prinz 50 lfm/Rolle;2.95
200488;(Container 2 Surulo) LHD EF 15x240x2200mm geölt, geb. Superrustic gefast;32.5
200489;Max Bindedraht TW898 blank für RG2--,3-- und 5-- Serie Paket =50 Rollen;149
200490;Diamantschleifscheibe ECO pink 22,23 Bohrung, Maschinentyp: Janser BS 330;100.8
200491;PKD-Schleiftopf Piranha pink LW Maschinentyp: Colibri;552.79999999999995
200492;Universalschleiftopf grün LW Maschinentyp: Colibri;380.8
200493;PKD-Schleiftopf Baracuda silber pink LW Maschinentyp: Colibri;484
200494;Quick-Change PKD Segment Duo silber Maschinentyp: Janser BS 330;174.4
200495;Knieschützer FENTO ORIGINAL Paar;90.4
200496;Rohrsaugdüse 450mm mit Gummilippen;72.319999999999993
200497;Saugrohr kompl. 38 mm 1x80.52.2150/2x80.52.3651;35.840000000000003
200498;Sternfilter M für Sauger HE3450 antistatisch;429
200499;Longopac 10570 Mini Super-Strong 4x23m 1 Paket = 4 Stück;99
200500;Optibelt Omega HP Neopren Zahnriemen 15mm 800/5MHP/15MM;19.95
200501;Diamant Frässcheibe HE 120 120x16mm für harte Böden;79
200502;Diamant Frässcheibe HE 120 Super Premium 125x16mm;150
200503;Saugadapter 36/50;9.9499999999999993
200504;Diamant Frässcheibe HE 120 125x17mm für harte Böden;79
200505;Optibelt Omega HP Neopren Zahnriemen 15mm 775/5MHP/15MM;19.95
200506;Saugschlauch-HEM PUR L DN50 1m;18.899999999999999
200507;Schraubmuffe DN50 für PUR Schlauch;29.95
200508;Absaughaube HE 120 (RAL 6024) 1836_B010-A;198
200509;Welle komplett für Bodenfräse HE120;223
200510;Doppelrolle LMDA TPA 50G;9.9499999999999993
200512;Heralan TPE Stärke: 30-2mm, 1200x625 mm;11.14
200513;Zewotherm - Feinregulierungsventil M 30 x 1,5 Edelstahl, Rücklauf;7.21
200514;Wieneberger KoraTech unterspannbahn, Classic 2S, Rolle 75m²;146.25
200516;Cemwood CW 2000   -   50 ltr. - Ausgleichsschüttung (  10 - 200 mm ) - 36 Sack/Pal./1,8m³ VPE;17.510000000000002
