artikel;name;ek
200054;EPS 040 DES sg - PSTK 5000 EPS Trittschalldämmplatte WLG 040;46
200055;EPS 040 DESsg PSTK 5000 20-2 mm - 11,00 qm EPS Trittschalldämmplatte WLG 040;0.92
200056;EPS 040 DESsg PSTK 5000 30-2 mm - 7,50 qm EPS Trittschalldämmplatte WLG 040;1.38
200057;EPS 040 DESsg PSTK 5000 40-2 mm - 5,50 qm EPS Trittschalldämmplatte WLG 040;1.84
200058;EPS 040 DESsg PSTK 5000 50-2 mm - 4,50 qm EPS Trittschalldämmplatte WLG 040;2.2999999999999998
200059;EPS 045 DES sm - PSTK 4000 EPS Trittschalldämmplatte WLG 045;41
200060;EPS 045 DESsm PSTK 4000 15-2 mm - 15,00 qm EPS Trittschalldämmplatte WLG 045;0.62
200061;EPS 045 DESsm PSTK 4000 20-2 mm - 11,00 qm EPS Trittschalldämmplatte WLG 045;0.82
200062;EPS 045 DESsm PSTK 4000 25-2 mm - 9,00 qm EPS Trittschalldämmplatte WLG 045;1.03
200063;EPS 045 DESsm PSTK 4000 30-3 mm - 7,50 qm EPS Trittschalldämmplatte WLG 045;1.23
200064;EPS 045 DESsm PSTK 4000 35-3 mm - 6,50 qm EPS Trittschalldämmplatte WLG 045;1.44
200065;EPS 045 DESsm PSTK 4000 40-3 mm - 5,50 qm EPS Trittschalldämmplatte WLG 045;1.64
200066;EPS 045 DESsm PSTK 4000 45-3 mm - 5,00 qm EPS Trittschalldämmplatte WLG 045;1.85
200067;EPS 045 DESsm PSTK 4000 50-3 mm - 4,50 qm EPS Trittschalldämmplatte WLG 045;2.0499999999999998
200068;EPS 045 DESsm PSTK 4000 60-3 mm - 4,00 qm EPS Trittschalldämmplatte WLG 045;2.46
200069;Estrichgitter, Drahtstärke: 2.00 mm, 1,00 m x 2,00 m / je Bund 40,00 qm;1.4
200070;Estrichmeßstellen für Restfeuchtigkeit, VPE 1 Stk.;0.28000000000000003
200071;Europalette;30
200072;Extruderschaum GK / 200 kPa WLG 035 - 20 mm, je Paket 15,00 qm;2.2400000000000002
200073;Extruderschaum GK / 300 kPa WLG 035 - 30 mm, je Paket 10,50 qm;3.06
200074;Extruderschaum GK / 300 kPa WLG 035 - 40 mm, je Paket 7,50 qm;4.08
200075;Extruderschaum GK / 300 kPa WLG 035 - 50 mm, je Paket 6,00 qm;5.0999999999999996
200076;Extruderschaum GK / 300 kPa WLG 035 - 60 mm, je Paket 5,25 qm;6.12
200077;FBH-Verbundplatte DEO 100 / 032 - 20 mm ,EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;2.6
200078;FBH-Verbundplatte DEO 100 / 032 - 30 mm EPS Wärmedämmplatte inkl.Rasterfolie - 10,00 qm / Paket;3.3
200079;FBH-Verbundplatte DEO 100 / 032 - 40 mm EPS Wärmedämmplatte inkl.Rasterfolie - 10,00 qm / Paket;4.0999999999999996
200080;FBH-Verbundplatte DEO 100 / 035 - 20 mm EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;2.4
200081;FBH-Verbundplatte DEO 100 / 035 - 30 mm EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;2.8
200082;FBH-Verbundplatte DEO 100 / 035 - 40 mm EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;3.6
200083;FBH-Verbundplatte DEO 100 / 035 - 50 mm EPS Wärmedämmplatte inkl. Rasterfolie - 8,00 qm / Paket;4.4000000000000004
200084;FBH-Verbundplatte WLG 035 DESsg 30-2 mm EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;2.9
200085;FBH-Verbundplatte WLG 035 DESsg 40-2 mm EPS Wärmedämmplatte inkl. Rasterfolie - 10,00 qm / Paket;3.7
200086;FBH-Verbundplatte WLG 035 DESsg 50-2 mm EPS Wärmedämmplatte inkl. Rasterfolie - 8,00 qm / Paket;4.5
200087;FBH-Verbundplatte WLG 040 DESsg 20-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;1.9
200088;FBH-Verbundplatte WLG 040 DESsg 30-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.21
200089;FBH-Verbundplatte WLG 040 DESsg 40-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.58
200090;FBH-Verbundplatte WLG 040 DESsg 50-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.88
200091;FBH-Verbundplatte WLG 045 DESsm 20-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;1.75
200092;FBH-Verbundplatte WLG 045 DESsm 25-2 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;1.82
200093;FBH-Verbundplatte WLG 045 DESsm 30-3 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.0499999999999998
200094;FBH-Verbundplatte WLG 045 DESsm 35-3 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.21
200095;FBH-Verbundplatte WLG 045 DESsm 40-3 mm EPS Trittschalldämmplatte inkl.Rasterfolie - 10,00 qm / Paket;2.36
200096;FBH-Verbundplatte WLG 045 DESsm 50-3 mm EPS Wärmedämmplatte inkl.Rasterfolie - 8,00 qm / Paket;2.7
200097;FIBOBAU - Nassestrichschüttung NE  -  50 ltr., Körnung 0 - 2 mm;5.3
200098;FISCHER cyclepor rapid  -  200 ltr., zur Herstellung von Ausgleichschüttungen, Belegereife 1 Tag;11.51
200099;Floorock Acoustic CP2, Steinwolle Trittschalldämplatte WLG 035;325
200100;Floorock Acoustic CP3, Steinwolle Trittschalldämmplatte WLG 035;320
200101;Floorock Heat Trittschallplatte CP 3 20-3 / 035, Steinwolle Trittschalldämmplatte mit aufkasch. Rasterfolie;14.86
200102;Floorock Heat Trittschallplatte CP 3 30-3 / 035, Steinwolle Trittschalldämmplatte mit aufkasch. Rasterfolie;17.39
200103;Floorock Heat Trittschallplatte CP 3 40-3 / 035, Steinwolle Trittschalldämmplatte mit aufkasch. Rasterfolie;19.989999999999998
200104;Floorock Therm WLG 040 20 mm - 6,25 qm, Steinwolle-Dämmplatte;4.5999999999999996
200105;Floorock Therm WLG 040, Steinwolle-Dämmplatte;218
200106;Floorrock Acoustic CP2 12-2 mm - 10,00 qm, Steinwolle Trittschalldämplatte WLG 035;3.9
200107;Floorrock Acoustic CP2 20-2 mm - 6,25 qm, Steinwolle Trittschalldämplatte WLG 035;6.5
200108;Floorrock Acoustic CP2 30-2 mm - 3,75 qm, Steinwolle Trittschalldämplatte WLG 035;9.75
200109;Floorrock Acoustic CP2 40-2 mm - 3,75 qm, Steinwolle Trittschalldämplatte WLG 035;13
200110;Floorrock Acoustic CP3 13-3 mm - 11,25 qm, Steinwolle Trittschalldämmplatte WLG 035;4.16
200111;Floorrock Acoustic CP3 20-3 mm - 7,50 qm, Steinwolle Trittschalldämmplatte WLG 035;6.4
200112;Floorrock Acoustic CP3 30-3 mm - 5,00 qm, Steinwolle Trittschalldämmplatte WLG 035;9.6
200113;Floorrock Acoustic CP3 40-3 mm - 3,75 qm, Steinwolle Trittschalldämmplatte WLG 035;12.8
200114;Floorrock Acoustic CP5 15-5 mm - 11,25 qm, Steinwolle Trittschalldämmplatte WLG 035;2.48
200115;Floorrock Acoustic CP5 20-5 mm - 10,00 qm, Steinwolle Trittschalldämmplatte WLG 035qm;3.3
200116;Floorrock Acoustic CP5 25-5 mm - 7,50 qm, Steinwolle Trittschalldämmplatte WLG 035;4.13
200117;Floorrock Acoustic CP5 30-5 mm - 6,25 qm, Steinwolle Trittschalldämmplatte WLG 035;4.95
200118;Floorrock Acoustic CP5 40-5 mm - 5,00 qm, Steinwolle Trittschalldämmplatte WLG 035;6.6
200119;Floorrock Acoustic CP5, Steinwolle Trittschalldämmplatte WLG 035;165
200120;Floorrock Therm WLG 040 30 mm - 5,00 qm, Steinwolle-Dämmplatte;6.54
200121;Floorrock Therm WLG 040 40 mm - 3,75 qm, Steinwolle-Dämmplatte;8.7200000000000006
200122;Floorrock Therm WLG 040 50 mm - 2,50 qm, Steinwolle-Dämmplatte;10.9
200123;Floorrock Therm WLG 040 60 mm - 2,50 qm, Steinwolle Dämmplatte;13.08
200124;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 100 mm 3,60 qm / Paket;12.36
200125;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 20 mm 17,28 qm / Paket;4.8499999999999996
200126;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 30 mm 11,52 qm / Paket;5.51
200127;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 40 mm 8,64 qm / Paket;6.52
200128;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 50 mm 7,20 qm / Paket;7.53
200129;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 60 mm 5,76 qm / Paket;8.15
200130;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 70 mm 5,04 qm / Paket;8.85
200131;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 80 mm 4,32 qm / Paket;10.19
200132;Fußbodendämmplatte PUR/PIR FB-AL WLS 022 - 90 mm 2,88 qm / Paket;11.28
200133;Geficell- Estrichrandschalung ES 100 - 1,30 m, Dicke : 6 mm / Höhe : 100 mm, je Paket 10 Stück;5.73
200134;Geficell- Estrichrandschalung ES 150 - 1,30 m, Dicke : 6 mm / Höhe : 150 mm, je Paket 10 Stüc;7.25
200135;Geficell TD-Z 6/5 mm - 112,50 qm, zugelassene Trittschalldämmung, 1,50 m x 75,00 m;1.39
200136;Geficell TD-Z 6/5 mm - 50,00 qm, zugelassene Trittschalldämmung, 1,00 m x 50,00 m;1.44
200137;Gefinex Randstreifen RDS Steinwolle 100 x 12 x 1000 mm ( Ktn. = 115 lfm. );0.7
200138;Gefinex Randstreifen RDS Steinwolle 120 x 12 x 1000 mm ( Ktn. = 90 lfm. );0.82
200139;Gefinex Randstreifen RDS Steinwolle 80 x 12 x 1000 mm ( Ktn. = 155 lfm. );0.55000000000000004
200140;Gefitas- Bitumen Dicht- und Klebstoff - 310 ml;12.1
200141;Gefitas- Dichtband - 15 m, 0,02 m x 15 m je Rolle;0.88
200142;Gefitas- Feuchtigkeitssperre PE 3/300 - Standard -, 1,25 x 40.00m = 50.00qm;1.88
200143;Gefitas- Systemanschlußstreifen R 300, 0,2 x 25m je Rolle;0.78
200144;GLASS - Glascofiber 20 - Polypropylenfaser     1 kg;5.37
200145;HEROTEC - Klettvlies tempusFLAT KLETT mit Verlegeraster, selbstklebend, Rollenmaß 1,05 m x 20 m x 2 mm  ( VE : 21 qm );4.8499999999999996
200146;Herotec Tempus Rock Platte TPT 20-5 1000x1000x20mm;0
200147;Holcim-FERRO 3 - Portlandhüttenzement CEM II/B-S 32,5 R je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;0
200148;Holcim-PUR 4 N - Portlandzement CEM I 42,5 N - 25 kg je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;4.37
200149;Holcim-PUR 4 R - Portlandzement CEM I 42,5 R - 25 kg je Sack, 25kg, je Palette 56 Sack je Sack, 25kg, je Palette 56 Sack;0
200150;ISOLA - Vermibit - Trockenausgleichsschüttung  -  100 ltr;0
200150;ISOLA - Vermibit - Trockenausgleichsschüttung  -  100 ltr;31.12
